strikeouts,pitcher_first,pitcher_last
10,Nathan Edward,Eovaldi
10,Tanner,Houck
7,Darwinzon David,Hernandez
6,Domingo,German
6,Martin (Jimenez),Perez
6,Nicholas Johncarlo,Pivetta
6,Robert Glenn,Ray
6,Eduardo Jose (Hernandez),Rodriguez
5,Gerrit Alan,Cole
5,Jordan Blackmon,Montgomery
4,Garrett Thomas,Richards
4,Yacksel,Rios
4,Hyun-Jin,Ryu
4,Brandon Carlin,Workman
3,Bailey,Falter
3,Thomas,Hatch
3,Jameson Lee,Taillon
3,Phillips Chalier,Valdez
2,Jose Antonio (Lizarzabal),Alvarado
2,Matthew Lee,Andriese
2,Scott,Barlow
2,Matthew David,Barnes
2,Kristofer Sime,Bubic
2,Enyel,De Los Santos
2,John Dale,Hammer
2,Brandon Lee,Kintzler
2,Patrick Brian,Murphy
2,Jordan Robert,Romano
2,Kirby,Snead
2,Vincent John,Velasquez
2,Garrett Getts,Whitlock
1,Austin Robert,Brice
1,Connor Michael,Brogdon
1,Albertin Aroldis (de la Cruz),Chapman
1,Nestor,Cortes
1,Rafael Jose,Dolis
1,Chad Keith,Green
1,Brooks Joseph,Kriske
1,Steven Jakob,Matz
1,Adam Robert,Ottavino
1,Trevor,Richards
1,Ervin Ramon,Santana
1,Hirokazu,Sawamura
1,Ranger Jose,Suarez
1,Anthony Ray,Swarzak
1,Joshua Earl,Taylor
1,Trent Edward,Thornton
0,Matthew Cody,Moore
0,Cristopher Alexis,Sanchez
0,Tayler Andrew,Saucedo
0,Joshua Tyler,Staumont
0,Justin James,Wilson
