strikeouts,batter_first,batter_last
3,Gregory Lomack,Allen
3,Xander Jan,Bogaerts
3,Robert Vernon,Dalbec
3,Julio Daniel,Martinez
3,Dustin Hunter,Renfroe
2,Alec Daniel,Bohm
2,Franchy (Vargas),Cordero
2,Rafael Calcano,Devers
2,Jarren William,Duran
2,Rhys Dean,Hoskins
2,David John,LeMahieu
2,Andrew Stefan,McCutchen
2,Christian Rafael,Vazquez
1,Christian Israel,Arroyo
1,Cavan Thomas,Biggio
1,Michael Scott,Chavis
1,Brett M.,Gardner
1,Randal Alexander,Grichuk
1,Vladimir Jr.,Guerrero
1,Enrique J.,Hernandez
1,Teoscar Jose,Hernandez
1,Ryan M.,LaMarre
1,Reese Jackson,McGuire
1,Bradley Austin,Miller
1,Marcus Andrew,Semien
1,Gleyber David,Torres
1,Ronald Alcides,Torreyes
1,Tyler Dean,Wade
0,Bo Joseph,Bichette
0,Robert Jacob,Brantly
0,Santiago Roman,Espinal
0,Estevan Haniel,Florial
0,Christopher Ryan,Gittens
0,Mariekson Julius,Gregorius
0,Lourdes Yunielki,Gurriel
0,Bryce Aron Max,Harper
0,Travis Paul,Jankowski
0,Andrew Michael,Knapp
0,Ryan Patrick,O'Hearn
0,Rougned Roberto,Odor
0,Salvador Johan (Diaz),Perez
0,Kevin Jeffrey,Plawecki
0,Jacob Tyler,Realmuto
0,Sebastian,Rivero
0,Gary,Sanchez
0,Carlos,Santana
0,Daniel Ernesto,Santana
0,Jean Carlos Enrique,Segura
0,George Chelston,Springer
0,Giancarlo Cruz-Michael,Stanton
0,Alex Brady,Verdugo
0,Lucas Daniel,Williams
0,Connor Sun-Han,Wong
