player_id,retrosheet_id,last_name,first_name
1,ohear001,O'Hearn,Ryan Patrick
2,renfh001,Renfroe,Dustin Hunter
3,santd001,Santana,Daniel Ernesto
4,wongc001,Wong,Connor Sun-Han
5,rives002,Rivero,Sebastian
6,santc002,Santana,Carlos
7,peres002,Perez,Salvador Johan (Diaz)
8,verda001,Verdugo,Alex Brady
9,martj006,Martinez,Julio Daniel
10,mccua001,McCutchen,Andrew Stefan
11,millb002,Miller,Bradley Austin
12,bogax001,Bogaerts,Xander Jan
13,realj001,Realmuto,Jacob Tyler
14,dever001,Devers,Rafael Calcano
15,gregd001,Gregorius,Mariekson Julius
16,arroc001,Arroyo,Christian Israel
17,herne001,Hernandez,Enrique J.
18,willl001,Williams,Lucas Daniel
19,hoskr001,Hoskins,Rhys Dean
20,bohma001,Bohm,Alec Daniel
21,jankt001,Jankowski,Travis Paul
22,knapa001,Knapp,Andrew Michael
23,seguj002,Segura,Jean Carlos Enrique
24,harpb003,Harper,Bryce Aron Max
25,dalbb001,Dalbec,Robert Vernon
26,chavm001,Chavis,Michael Scott
27,torrr001,Torreyes,Ronald Alcides
28,vazqc001,Vazquez,Christian Rafael
29,gardb001,Gardner,Brett M.
30,torrg001,Torres,Gleyber David
31,branr002,Brantly,Robert Jacob
32,alleg002,Allen,Gregory Lomack
33,wadet002,Wade,Tyler Dean
34,lemad001,LeMahieu,David John
35,odorr001,Odor,Rougned Roberto
36,flore001,Florial,Estevan Haniel
37,stanm004,Stanton,Giancarlo Cruz-Michael
38,duraj001,Duran,Jarren William
39,gittc001,Gittens,Christopher Ryan
40,sancg002,Sanchez,Gary
41,lamar001,LaMarre,Ryan M.
42,plawk001,Plawecki,Kevin Jeffrey
43,cordf003,Cordero,Franchy (Vargas)
44,hernt002,Hernandez,Teoscar Jose
45,bichb001,Bichette,Bo Joseph
46,mcgur002,McGuire,Reese Jackson
47,biggc002,Biggio,Cavan Thomas
48,gurrl001,Gurriel,Lourdes Yunielki
49,sprig001,Springer,George Chelston
50,guerv002,Guerrero,Vladimir Jr.
51,semim001,Semien,Marcus Andrew
52,gricr001,Grichuk,Randal Alexander
53,espis001,Espinal,Santiago Roman
54,eovan001,Eovaldi,Nathan Edward
55,bubik001,Bubic,Kristofer Sime
56,sante001,Santana,Ervin Ramon
57,stauj001,Staumont,Joshua Tyler
58,barls001,Barlow,Scott
59,swara001,Swarzak,Anthony Ray
60,andrm001,Andriese,Matthew Lee
61,richg002,Richards,Garrett Thomas
62,velav001,Velasquez,Vincent John
63,deloe001,De Los Santos,Enyel
64,kintb001,Kintzler,Brandon Lee
65,riosy001,Rios,Yacksel
66,alvaj004,Alvarado,Jose Antonio (Lizarzabal)
67,hernd004,Hernandez,Darwinzon David
68,workb001,Workman,Brandon Carlin
69,perem004,Perez,Martin (Jimenez)
70,moorm003,Moore,Matthew Cody
71,faltb001,Falter,Bailey
72,whitg002,Whitlock,Garrett Getts
73,brica001,Brice,Austin Robert
74,hammj003,Hammer,John Dale
75,brogc001,Brogdon,Connor Michael
76,piven001,Pivetta,Nicholas Johncarlo
77,sancc002,Sanchez,Cristopher Alexis
78,sawah001,Sawamura,Hirokazu
79,ottaa001,Ottavino,Adam Robert
80,suarr001,Suarez,Ranger Jose
81,houct001,Houck,Tanner
82,montj004,Montgomery,Jordan Blackmon
83,taylj001,Taylor,Joshua Earl
84,greec003,Green,Chad Keith
85,barnm001,Barnes,Matthew David
86,krisb001,Kriske,Brooks Joseph
87,rodre004,Rodriguez,Eduardo Jose (Hernandez)
88,coleg001,Cole,Gerrit Alan
89,valdp002,Valdez,Phillips Chalier
90,cortn001,Cortes,Nestor
91,wilsj004,Wilson,Justin James
92,tailj001,Taillon,Jameson Lee
93,chapa001,Chapman,Albertin Aroldis (de la Cruz)
94,germd001,German,Domingo
95,hatct001,Hatch,Thomas
96,sauct001,Saucedo,Tayler Andrew
97,richt001,Richards,Trevor
98,romaj004,Romano,Jordan Robert
99,ray-r002,Ray,Robert Glenn
100,matzs001,Matz,Steven Jakob
101,murpp001,Murphy,Patrick Brian
102,thort002,Thornton,Trent Edward
103,ryu-h001,Ryu,Hyun-Jin
104,dolir001,Dolis,Rafael Jose
105,sneak001,Snead,Kirby
